ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,ecai,,,,,,wurm1981pacific,,map,
1,BE,,,,,traditional,wurm1981pacific,features,feature,map_1
3,CHINESE,,,,midd1354,traditional,wurm1981pacific,features,feature,map_1
16,LARDIL,,,,,traditional,wurm1981pacific,features,feature,map_1
22,LI,,,,hlai1239,traditional,wurm1981pacific,features,feature,map_1
24,CHAM,,,,tsat1238,traditional,wurm1981pacific,features,feature,map_1
25,YAO,,,,mien1243,traditional,wurm1981pacific,features,feature,map_1
30,CHINESE,,,,midd1354,traditional,wurm1981pacific,features,feature,map_1
31,BASAY?_Linaw-Qauqaul,,,,lina1245,traditional,wurm1981pacific,features,feature,map_1
32,BASAY_Trobiawan,,,,trob1237,traditional,wurm1981pacific,features,feature,map_1
33,KAVALAN,,,,kava1241,traditional,wurm1981pacific,features,feature,map_1
34,BASAY,,,,basa1287,traditional,wurm1981pacific,features,feature,map_1
35,AMI_Central,,,,cent2104,traditional,wurm1981pacific,features,feature,map_1
36,AMI_Tayalong-Vataan,,,,tava1241,traditional,wurm1981pacific,features,feature,map_1
37,AMI_Northern,,,,nata1254,traditional,wurm1981pacific,features,feature,map_1
38,AMI_Sakizaya,,,,saki1247,traditional,wurm1981pacific,features,feature,map_1
39,THAO,,,,thao1240,traditional,wurm1981pacific,features,feature,map_1
40,BUNUN_Northern,,,,nort2902,traditional,wurm1981pacific,features,feature,map_1
41,ATAYAL_Ts'ole',,,,atay1247,traditional,wurm1981pacific,features,feature,map_1
42,ATAYAL_SEDEQ,,,,taro1264,traditional,wurm1981pacific,features,feature,map_1
44,ATAYAL_Ts'ole' and Sqoleq,,,,sqol1237,traditional,wurm1981pacific,features,feature,map_1
47,SAISIYAT_Southern,,,,tung1292,traditional,wurm1981pacific,features,feature,map_1
48,SAISIYAT_Northern,,,,taai1237,traditional,wurm1981pacific,features,feature,map_1
49,PAPORA,,,,nucl1579,traditional,wurm1981pacific,features,feature,map_1
50,HOANYA,,,,hoan1238,traditional,wurm1981pacific,features,feature,map_1
51,BUNUN_Takopulan,,,,tako1237,traditional,wurm1981pacific,features,feature,map_1
52,AMI_Southern,,,,sout2929,traditional,wurm1981pacific,features,feature,map_1
53,TSOU_Duhtu,,,,duht1237,traditional,wurm1981pacific,features,feature,map_1
54,TSOU_Tfuea,,,,tfue1237,traditional,wurm1981pacific,features,feature,map_1
55,TSOU_Tapangu,,,,tapa1257,traditional,wurm1981pacific,features,feature,map_1
57,ATAYAL,,,,atay1247,traditional,wurm1981pacific,features,feature,map_1
59,?,,,,,traditional,wurm1981pacific,features,feature,map_1
60,KETANGALAN,,,,keta1243,traditional,wurm1981pacific,features,feature,map_1
61,KULUN,,,,kulo1238,traditional,wurm1981pacific,features,feature,map_1
62,TAOKAS,,,,taok1237,traditional,wurm1981pacific,features,feature,map_1
63,BABUZA,,,,babu1240,traditional,wurm1981pacific,features,feature,map_1
64,PAZEH,,,,paze1234,traditional,wurm1981pacific,features,feature,map_1
65,SIRAYA_Taivoan,,,,taiv1237,traditional,wurm1981pacific,features,feature,map_1
66,SIRAYAY_Siraya,,,,sira1267,traditional,wurm1981pacific,features,feature,map_1
67,RUKAI_Rukai,,,,ruka1240,traditional,wurm1981pacific,features,feature,map_1
68,RUKAI_Three Villages,,,,ruka1240,traditional,wurm1981pacific,features,feature,map_1
69,BUNUN_Central,,,,cent2105,traditional,wurm1981pacific,features,feature,map_1
70,BUNUN_Southern,,,,sout2930,traditional,wurm1981pacific,features,feature,map_1
73,PUYUMA_Nanwang,,,,nanw1237,traditional,wurm1981pacific,features,feature,map_1
74,PUYUMA,,,,puyu1239,traditional,wurm1981pacific,features,feature,map_1
77,PAIWAN,,,,paiw1248,traditional,wurm1981pacific,features,feature,map_1
78,TAGALOG,,,,taga1270,traditional,wurm1981pacific,features,feature,map_1
80,KAPAMPANGAN,,,,pamp1243,traditional,wurm1981pacific,features,feature,map_1
81,TINA SAMBAL,,,,tina1248,traditional,wurm1981pacific,features,feature,map_1
82,PANGASINAN,,,,pang1290,traditional,wurm1981pacific,features,feature,map_1
83,ILONGOT,,,,ilon1239,traditional,wurm1981pacific,features,feature,map_1
84,KASIGURANIN,,,,kasi1256,traditional,wurm1981pacific,features,feature,map_1
85,CASIGURAN DUMAGAT,,,,casi1235,traditional,wurm1981pacific,features,feature,map_1
86,AGTA,,,,cent2084,traditional,wurm1981pacific,features,feature,map_1
88,ISNAG,,,,isna1241,traditional,wurm1981pacific,features,feature,map_1
89,ADASEN,,,,adas1235,traditional,wurm1981pacific,features,feature,map_1
90,MALAWEG,,,,mala1534,traditional,wurm1981pacific,features,feature,map_1
91,GADDANG,,,,gadd1244,traditional,wurm1981pacific,features,feature,map_1
92,BINONGAN ITNEG,,,,bino1237,traditional,wurm1981pacific,features,feature,map_1
93,INLAOD ITNEG,,,,inla1260,traditional,wurm1981pacific,features,feature,map_1
94,KALINGA,,,,kali1311,traditional,wurm1981pacific,features,feature,map_1
95,KANKANAEY_South,,,,kank1243,traditional,wurm1981pacific,features,feature,map_1
96,IFUGAO,,,,ifug1247,traditional,wurm1981pacific,features,feature,map_1
