ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
abai1239,Abai,,,,abai1239,,719,dialect,Austronesian,dialects
abam1239,Abam,,,,abam1239,,2663,dialect,Eastern Trans-Fly,dialects
afor1239,Afore,,,,afor1239,,1498,dialect,Koiarian,dialects
agob1245,Agöb,,,,agob1245,,2607,dialect,Pahoturi,dialects
aguf1237,Agufi,,,,aguf1237,,2742,dialect,Austronesian,dialects
ahea1235,Aheave,,,,ahea1235,,1977,dialect,Eleman,dialects
aibo1237,Aibondeni,,,,aibo1237,,2497,dialect,Austronesian,dialects
aitu1237,Aitutaki,,,,aitu1237,,3073,dialect,Austronesian,dialects
akab1250,Akabafa,,,,akab1250,,1451,dialect,Koiarian,dialects
alca1237,Alcantaranon,,,,alca1237,,131,dialect,Austronesian,dialects
alep1237,Alepa,,,,alep1237,,2175,dialect,Austronesian,dialects
alii1241,Ali (Papua New Guinea),,,,alii1241,,2204,dialect,Austronesian,dialects
alla1249,Allang,,,,alla1249,,2473,dialect,Austronesian,dialects
aluu1243,Alu,,,,aluu1243,,2774,dialect,Austronesian,dialects
aman1264,Amanuban-Amanatun,,,,aman1264,,272,dialect,Austronesian,dialects
amba1264,Ambawang,,,,amba1264,,591,dialect,Austronesian,dialects
amba1268,Ambasi,,,,amba1268,,1511,dialect,Nuclear Trans New Guinea,dialects
ambo1255,Ambon Malay,,,,ambo1255,,2394,dialect,Austronesian,dialects
amfo1237,Amfoan-Fatule'u,,,,amfo1237,,329,dialect,Austronesian,dialects
amot1240,Amota,,,,amot1240,,1489,dialect,Manubaran,dialects
ampa1240,Ampana-Togian,,,,ampa1240,,3267 3268,dialect,Austronesian,dialects
ampi1237,Ampibabo,,-0.5,120.0,ampi1237,,3300,dialect,Austronesian,dialects
amug1239,Amugen,,,,amug1239,,1331,dialect,Nuclear Trans New Guinea,dialects
anca1243,Ancalong Kutai,,,,anca1243,,803,dialect,Austronesian,dialects
aniw1237,Aniwa,,,,aniw1237,,2843,dialect,Austronesian,dialects
