id,name,glottocode,year,map_name_full
1,BE,,traditional,ecai
3,CHINESE,midd1354,traditional,ecai
16,LARDIL,,traditional,ecai
22,LI,hlai1239,traditional,ecai
24,CHAM,tsat1238,traditional,ecai
25,YAO,mien1243,traditional,ecai
30,CHINESE,midd1354,traditional,ecai
31,BASAY?_Linaw-Qauqaul,lina1245,traditional,ecai
32,BASAY_Trobiawan,trob1237,traditional,ecai
33,KAVALAN,kava1241,traditional,ecai
34,BASAY,basa1287,traditional,ecai
35,AMI_Central,cent2104,traditional,ecai
36,AMI_Tayalong-Vataan,tava1241,traditional,ecai
37,AMI_Northern,nata1254,traditional,ecai
38,AMI_Sakizaya,saki1247,traditional,ecai
39,THAO,thao1240,traditional,ecai
40,BUNUN_Northern,nort2902,traditional,ecai
41,ATAYAL_Ts'ole',atay1247,traditional,ecai
42,ATAYAL_SEDEQ,taro1264,traditional,ecai
44,ATAYAL_Ts'ole' and Sqoleq,sqol1237,traditional,ecai
47,SAISIYAT_Southern,tung1292,traditional,ecai
48,SAISIYAT_Northern,taai1237,traditional,ecai
49,PAPORA,nucl1579,traditional,ecai
50,HOANYA,hoan1238,traditional,ecai
51,BUNUN_Takopulan,tako1237,traditional,ecai
52,AMI_Southern,sout2929,traditional,ecai
53,TSOU_Duhtu,duht1237,traditional,ecai
54,TSOU_Tfuea,tfue1237,traditional,ecai
55,TSOU_Tapangu,tapa1257,traditional,ecai
57,ATAYAL,atay1247,traditional,ecai
59,?,,traditional,ecai
60,KETANGALAN,keta1243,traditional,ecai
61,KULUN,kulo1238,traditional,ecai
62,TAOKAS,taok1237,traditional,ecai
63,BABUZA,babu1240,traditional,ecai
64,PAZEH,paze1234,traditional,ecai
65,SIRAYA_Taivoan,taiv1237,traditional,ecai
66,SIRAYAY_Siraya,sira1267,traditional,ecai
67,RUKAI_Rukai,ruka1240,traditional,ecai
68,RUKAI_Three Villages,ruka1240,traditional,ecai
69,BUNUN_Central,cent2105,traditional,ecai
70,BUNUN_Southern,sout2930,traditional,ecai
73,PUYUMA_Nanwang,nanw1237,traditional,ecai
74,PUYUMA,puyu1239,traditional,ecai
77,PAIWAN,paiw1248,traditional,ecai
78,TAGALOG,taga1270,traditional,ecai
80,KAPAMPANGAN,pamp1243,traditional,ecai
81,TINA SAMBAL,tina1248,traditional,ecai
82,PANGASINAN,pang1290,traditional,ecai
83,ILONGOT,ilon1239,traditional,ecai
84,KASIGURANIN,kasi1256,traditional,ecai
85,CASIGURAN DUMAGAT,casi1235,traditional,ecai
86,AGTA,cent2084,traditional,ecai
88,ISNAG,isna1241,traditional,ecai
89,ADASEN,adas1235,traditional,ecai
90,MALAWEG,mala1534,traditional,ecai
91,GADDANG,gadd1244,traditional,ecai
92,BINONGAN ITNEG,bino1237,traditional,ecai
93,INLAOD ITNEG,inla1260,traditional,ecai
94,KALINGA,kali1311,traditional,ecai
95,KANKANAEY_South,kank1243,traditional,ecai
96,IFUGAO,ifug1247,traditional,ecai
97,GA-DANG,gada1258,traditional,ecai
98,BONTOK,bont1247,traditional,ecai
99,BALANGAW,bala1310,traditional,ecai
100,KARAW,kara1487,traditional,ecai
101,KALLAHAN,kele1259,traditional,ecai
102,INIBALOI,ibal1244,traditional,ecai
104,ISINAI,isin1239,traditional,ecai
106,IBANAG,iban1267,traditional,ecai
107,ITAWIS,itaw1240,traditional,ecai
108,KANKANAEY_North,nort2877,traditional,ecai
109,ILOKANO,ilok1237,traditional,ecai
110,BOTOLAN,boto1242,traditional,ecai
112,STANDARD BIKOL,cent2087,traditional,ecai
114,NORTHERN CATANDUANES BIKOL,nort2883,traditional,ecai
115,KAMAYO,kama1363,traditional,ecai
116,RAJAH,raja1254,traditional,ecai
117,DAVAWENO1,dava1245,traditional,ecai
118,SARANGANI MANOBO,sara1327,traditional,ecai
119,MANDAYA,kara1489,traditional,ecai
120,BLAAN,blaa1241,traditional,ecai
121,TAGAKAULU,taga1268,traditional,ecai
124,TBOLI,tbol1240,traditional,ecai
125,COTABATO MANOBO,cota1241,traditional,ecai
127,CHAVACANO,chav1241,traditional,ecai
128,KALAGAN,kala1388,traditional,ecai
130,KALIBUGAN,koli1253,traditional,ecai
131,SUBANUN,lapu1236,traditional,ecai
132,MARANAO,mara1404,traditional,ecai
134,TAGABAWA,taga1272,traditional,ecai
135,BAGOBO,gian1241,traditional,ecai
138,HILIGAYNON(ILONGGO),hili1240,traditional,ecai
139,CEBUANO,cebu1242,traditional,ecai
140,MAGINDANAO,magu1243,traditional,ecai
141,ILANUN,iran1262,traditional,ecai
143,OBO MANOBO,obom1235,traditional,ecai
144,ILIANEN MANOBO,ilia1236,traditional,ecai
145,BUTUANON,butu1244,traditional,ecai
146,MAMANWA,mama1275,traditional,ecai
147,BINUKID,binu1244,traditional,ecai
149,AGUSAN MANOBO,agus1235,traditional,ecai
154,ATA MANOBO,atam1240,traditional,ecai
155,DIBABAWON,diba1242,traditional,ecai
156,TIGWA MANOBO,tigw1237,traditional,ecai
157,SAMAR-LEYTE(L-complex?),sama1301,traditional,ecai
164,BANTON_Dispohol,bant1288,traditional,ecai
165,ROMBLON_Dispohol,romb1246,traditional,ecai
166,IRAYA,iray1237,traditional,ecai
168,HANUNOO,hanu1241,traditional,ecai
169,Bulalakao,bula1256,traditional,ecai
170,TADYAWAN,tady1237,traditional,ecai
171,BUHID,buhi1245,traditional,ecai
172,BATANGAN,bata1318,traditional,ecai
173,ALANGAN,alan1249,traditional,ecai
174,HILIGAYNON,hili1240,traditional,ecai
175,AKLANON,akla1240,traditional,ecai
176,ROMBLON,romb1246,traditional,ecai
178,TSOU_SAAROA,saar1237,traditional,ecai
179,TSOU_KANAKANABU,kana1286,traditional,ecai
180,SIRAYA_Makatao,maka1313,traditional,ecai
181,SIRAYA_Lamai,lama1281,traditional,ecai
183,YAMI,yami1254,traditional,ecai
186,TIRURAY,tiru1241,traditional,ecai
187,YAKAN,yaka1277,traditional,ecai
188,SAMA SIBUGUEY,sibu1253,traditional,ecai
190,KINAMIGIN,cina1236,traditional,ecai
191,SURIGAONON,suri1273,traditional,ecai
201,RINCONADA BIKOL,irig1242,traditional,ecai
205,KALAMIANON,cala1258,traditional,ecai
211,WEST BUKIDNON MANOBO,pula1266,traditional,ecai
214,WEST BANTON_Looc-Alcantara,alca1237,traditional,ecai
216,ATTA,atta1244,traditional,ecai
218,PARANAN,para1306,traditional,ecai
219,EAST CAGAYAN NEGRITO,dupa1235,traditional,ecai
220,UMIREY DUMAGAT,umir1236,traditional,ecai
226,MASBATENO,masb1238,traditional,ecai
230,ALBAY BIKOL,alba1269,traditional,ecai
232,BOLINAO,boli1256,traditional,ecai
237,TAUSUG,taus1251,traditional,ecai
238,SAMA SOUTH,sout2918,traditional,ecai
239,SAMA CENTRAL,sout2918,traditional,ecai
242,SAMA WEST,pang1291,traditional,ecai
244,MOLBOG,molb1237,traditional,ecai
246,PALAWENO,cent2091,traditional,ecai
247,ABORLAN-TAGBANWA,tagb1258,traditional,ecai
249,BATAK,bata1301,traditional,ecai
251,MON,moni1258,traditional,ecai
254,MEO,hmon1337,traditional,ecai
255,East Coast Bajau,,traditional,ecai
259,KHMER,cent1989,traditional,ecai
261,VIET,viet1252,traditional,ecai
263,SO,sooo1254,traditional,ecai
264,ALAK,alak1253,traditional,ecai
265,NGUON,nguo1239,traditional,ecai
266,SAEK,saek1240,traditional,ecai
267,TUM,toum1239,traditional,ecai
269,KUY,kuyy1240,traditional,ecai
273,PHU YAI,phut1244,traditional,ecai
274,TAMPUAN,tamp1251,traditional,ecai
277,KUY,kuyy1240,traditional,ecai
278,KUY,kuyy1240,traditional,ecai
279,CHAM,east2563,traditional,ecai
282,MNONG,mnon1259,traditional,ecai
292,PEAR,pear1247,traditional,ecai
293,SAMRE,somr1240,traditional,ecai
294,CHAM,west2650,traditional,ecai
298,CHONG,chon1284,traditional,ecai
299,SOMRAY/CHONG,somr1240,traditional,ecai
300,KHMER,cent1989,traditional,ecai
306,SUOY,suoy1242,traditional,ecai
307,SAOCH,saoc1239,traditional,ecai
311,MEO,hmon1337,traditional,ecai
312,YAO,mien1242,traditional,ecai
314,YAO,mien1242,traditional,ecai
319,MUONG,muon1246,traditional,ecai
326,CAOLAN,caol1238,traditional,ecai
327,CAOLAN,caol1238,traditional,ecai
329,YAO/MEO,hmon1336,traditional,ecai
330,NYAKUR,nyah1250,traditional,ecai
331,M,monn1252,traditional,ecai
332,KHMER,cent1989,traditional,ecai
333,TONGA',tong1308,traditional,ecai
335,NYAKUR,nyah1250,traditional,ecai
342,MON,moni1258,traditional,ecai
347,UGONG,ugon1239,traditional,ecai
352,PHALO,phal1255,traditional,ecai
355,LISU,lisu1250,traditional,ecai
356,YAO,mien1242,traditional,ecai
358,LAHU,lahu1253,traditional,ecai
359,LAVIA,awac1238,traditional,ecai
360,KAREN,kare1337,traditional,ecai
362,MPI,mpii1239,traditional,ecai
363,AKHA,akha1245,traditional,ecai
366,MAL,mall1246,traditional,ecai
368,KHAMET,lame1256,traditional,ecai
370,LAHU,lahu1253,traditional,ecai
373,MOK,mokk1243,traditional,ecai
378,PHANG,phan1252,traditional,ecai
395,AKHA,akha1245,traditional,ecai
397,XINH MUL,puoc1238,traditional,ecai
402,KHMU,khmu1256,traditional,ecai
404,MEO,hmon1337,traditional,ecai
406,PONG1,phon1246,traditional,ecai
407,PONG3,puoc1238,traditional,ecai
425,THAI DAM(LAO SONG),taid1247,traditional,ecai
427,AKHA,akha1245,traditional,ecai
428,LUE,luuu1242,traditional,ecai
431,BIT,bitt1240,traditional,ecai
434,KHAO,khan1274,traditional,ecai
438,CHINESE,midd1354,traditional,ecai
444,SILA,sila1247,traditional,ecai
448,MRABRI,mlab1235,traditional,ecai
450,MUANG,nort2740,traditional,ecai
452,PRAY/PHAY,phai1238,traditional,ecai
458,KHMU,khmu1256,traditional,ecai
462,PHAY,phai1238,traditional,ecai
464,PHNAN,phan1254,traditional,ecai
468,LAMET,lame1256,traditional,ecai
469,MEO,hmon1337,traditional,ecai
470,TAI LOI,nucl1289,traditional,ecai
471,LAHU,lahu1253,traditional,ecai
474,DOI,doii1241,traditional,ecai
477,KRAEN,kare1337,traditional,ecai
478,JINGHPAW,kach1280,traditional,ecai
479,WA,waaa1245,traditional,ecai
485,SO,sooo1254,traditional,ecai
486,BO,muon1245,traditional,ecai
491,HUNG/PONG2,phon1243,traditional,ecai
495,Hat,hatt1237,traditional,ecai
501,T,thai1260,traditional,ecai
510,KAREN,kare1337,traditional,ecai
516,KHANG,khan1274,traditional,ecai
519,LAHA,laha1250,traditional,ecai
532,MANG,mang1378,traditional,ecai
538,GIAY,giay1234,traditional,ecai
549,KAREN,kare1337,traditional,ecai
550,SHAN,shan1277,traditional,ecai
552,SHAN,shan1277,traditional,ecai
560,NYAHEUN,nyah1249,traditional,ecai
561,ONG,ongg1239,traditional,ecai
564,Rai,raii1244,traditional,ecai
566,S. ROGLAI,sout3010,traditional,ecai
567,CHRU,chru1239,traditional,ecai
570,N. ROGLAI,nort2994,traditional,ecai
571,RHADE,rade1240,traditional,ecai
572,JARAI,jara1266,traditional,ecai
573,HAROI,haro1237,traditional,ecai
574,BAHNAR,bahn1262,traditional,ecai
575,HRE,hree1244,traditional,ecai
576,KAYONG,kayo1245,traditional,ecai
577,SEDANG,seda1262,traditional,ecai
578,KATUA,katu1273,traditional,ecai
579,TODRAH,todr1244,traditional,ecai
580,MONOM,mono1268,traditional,ecai
581,CUA,cuaa1241,traditional,ecai
582,DUAN,hala1253,traditional,ecai
583,TAKUA,taku1254,traditional,ecai
584,LAMAM/HA,roma1331,traditional,ecai
585,RENGAO,reng1252,traditional,ecai
586,JEH,jehh1245,traditional,ecai
587,TARENG,tare1239,traditional,ecai
588,KASENG,nort3150,traditional,ecai
590,BRAO,lave1249,traditional,ecai
591,SAPUAN/SOK/CHENG,sapu1248,traditional,ecai
592,LOVEN,lave1248,traditional,ecai
594,PACOH,paco1243,traditional,ecai
595,PHUONG,phuo1238,traditional,ecai
596,YIR,irrr1240,traditional,ecai
597,KLOR,ngeq1245,traditional,ecai
598,NGEH,ngeq1245,traditional,ecai
599,KATU,katu1272,traditional,ecai
600,TAHOI,uppe1406,traditional,ecai
602,BRU,east2332,traditional,ecai
603,KHUA,khua1243,traditional,ecai
604,TRI,trii1240,traditional,ecai
605,MANGKONG,mang1379,traditional,ecai
607,KHA TONG LUANG,muon1246,traditional,ecai
608,AREM/MAY/RUC,arem1240,traditional,ecai
609,THAVUNG,aheu1239,traditional,ecai
611,T,thai1260,traditional,ecai
616,PAK TAY,sout2746,traditional,ecai
617,BURMESE,tavo1242,traditional,ecai
620,Palaw,pala1339,traditional,ecai
622,LAHU/LISU,lahu1253,traditional,ecai
633,AKHA/LAHU,akha1245,traditional,ecai
638,LUE,luuu1242,traditional,ecai
639,South-Wester Family,luuu1242,traditional,ecai
640,South-Western Family,nort2740,traditional,ecai
646,Khuen,khue1238,traditional,ecai
650,TAY,tayy1238,traditional,ecai
655,THAI KHAW,cent2251,traditional,ecai
658,THAI KHAW,cent2251,traditional,ecai
659,Austronesian,aust1307,traditional,ecai
662,EAHU,lahu1253,traditional,ecai
665,TIMORESE/Biboki-Insana,bibo1238,traditional,ecai
666,TIMORESE/ROTINESE,rote1234,traditional,ecai
