id,name,glottocode,year,map_name_full
1,AIBONDENI,aibo1237,traditional,L002_yapen
2,AMBAI Ambai,nucl1466,traditional,L002_yapen
3,AMBAI Randawaya,rand1239,traditional,L002_yapen
4,AMBAI Sumberbaba,amba1265,traditional,L002_yapen
5,ANSUS,ansu1237,traditional,L002_yapen
6,APUMA,papu1251,traditional,L002_yapen
7,BIAK,biak1248,traditional,L002_yapen
8,BUSAMI Kamanap,busa1254,traditional,L002_yapen
9,BUSAMI Kaonda,busa1254,traditional,L002_yapen
10,BUSAMI Sasawa,busa1254,traditional,L002_yapen
11,MARAU Marau,mara1397,traditional,L002_yapen
12,MARAU Natabui,mara1397,traditional,L002_yapen
13,MARAU Warabori,wara1296,traditional,L002_yapen
14,MUNGGUI Morui,mung1269,traditional,L002_yapen
15,MUNGGUI Munggui,mung1269,traditional,L002_yapen
16,POM,pomm1237,traditional,L002_yapen
17,S. Halmahera - N.W. New Guinea Group,sout3229,traditional,L002_yapen
18,WABO Northeast,wabo1240,traditional,L002_yapen
19,WABO Southeast,wabo1240,traditional,L002_yapen
20,WABO West,wabo1240,traditional,L002_yapen
21,WADAPI-LAUT,amba1265,traditional,L002_yapen
22,WOI,woii1237,traditional,L002_yapen
23,YAVA Ariepi,nucl1454,traditional,L002_yapen
24,YAVA Central,cent2052,traditional,L002_yapen
25,YAVA Konti-Unai,nucl1454,traditional,L002_yapen
26,YAVA Mantembu,nucl1454,traditional,L002_yapen
27,YAVA Mariadei,nucl1454,traditional,L002_yapen
28,YAVA North,nort2825,traditional,L002_yapen
29,YAVA Northeast,nucl1454,traditional,L002_yapen
30,YAVA Sarawandori,nucl1454,traditional,L002_yapen
31,YAVA Saweru,sawe1240,traditional,L002_yapen
32,YAVA Tarau,nucl1454,traditional,L002_yapen
33,YAVA Tatui,nucl1454,traditional,L002_yapen
34,YAVA Wadapi-Darat,nucl1454,traditional,L002_yapen
35,YAVA Yapanani-Borai,nucl1454,traditional,L002_yapen
36,Austronesian,aust1307,traditional,L004_aru
37,BARAKAI,bara1367,traditional,L004_aru
38,DOBEL,dobe1238,traditional,L004_aru
39,KOLA,lola1248,traditional,L004_aru
40,UJIR,ujir1237,traditional,L004_aru
41,WOKAM TARANGAN,aruu1241,traditional,L004_aru
42,WOKAM TARANGAN Batulay,east2465,traditional,L004_aru
43,WOKAM TARANGAN Mariri,east2465,traditional,L004_aru
44,BANDA,band1355,traditional,L004_kai
45,KEI-FORDATA Kei Besar,keib1237,traditional,L004_kai
46,KEI-FORDATA Kei Kecil,keik1237,traditional,L004_kai
47,TEOR-KUR Kur,kurr1245,traditional,L004_kai
48,ANDRA-HUS,andr1248,traditional,L014_admiralty
49,Austronesian,aust1307,traditional,L014_admiralty
50,BALUAN-LOU-PAM,loup1244,traditional,L014_admiralty
