AGOB,agob1245
ARI-WARUNA Ari,arii1243
ARI-WARUNA Waruna,waru1267
ATURU,maka1315
BAINAPI,dibi1240
BAMU KIWAI Middle Bamu,bamu1257
BAMU KIWAI Pirupiru,bamu1257
BAMU KIWAI Sisiame,sisi1249
DORRO,namo1246
"Eastern BINE (Giringarede, Boze)",boze1239
Eastern BINE (Kunini),kuni1264
Eastern BINE (Sogal),soga1243
Eastern GIZRA (Waidoro),waid1239
Eastern Trans-Fly Family,east2503
GOGODALA,gogo1265
GOGODALA Adiba,gogo1265
Guiam Yuta,wipi1242
IDI,nucl1597
KAIRI,rumu1243
KAMULA,kamu1260
KEREWO,kere1286
LEWADA Balamula,bara1378
LEWADA Dewala,maka1315
LEWADA Lewada,maka1315
MAHIGI,mahi1249
MENA,mena1240
MINANIBAI,mina1274
MIRIAM (ERUB),meri1244
MORIGI,mori1271
MUTUM,bitu1242
MUTUM (Kapal),bitu1242
MUTUM (Rual),bitu1242
NAMBU,namb1292
NAMBU Parb,lenn1234
NAMBU Tais,namo1246
NORTH-EASTERN KIWAI Gope,kope1239
NORTH-EASTERN KIWAI Urama,kope1239
Northern GIDRA,wipi1242
Northern GIDRA (Gamaewe),gama1253
Northern GIDRA (Iamega),iame1239
Northern GIDRA (Podari),poda1239
Northern GIDRA (Wipim),wipi1243
Northern GIDRA (Wonie),woni1239
Northern GIDRA (Zim),wipi1242
Northern MABUIAG,mabu1248
OMATI,mouw1234
POROME,poro1255
SOUTHERN KIWAI,sout2949
SOUTHERN KIWAI Coastal Kiwai,coas1298
SOUTHERN KIWAI Daru Kiwai,daru1245
SOUTHERN KIWAI Duomori,doum1239
SOUTHERN KIWAI E. Coastal Kiwai,east2521
SOUTHERN KIWAI Island Kiwai,isla1274
SOUTHERN KIWAI S. Coastal Kiwai,sout2950
SUKI,suki1245
Southern GIDRA,wipi1242
Southern GIDRA Abam,abam1239
Southern GIDRA Dorogori,doro1265
Southern GIDRA Kuru,kuru1307
Southern GIDRA Peawa,peaw1239
TAO-SUAMATO,muba1238
TIRIO,tiri1259
WABUDA,wabo1241
WAIA,tabo1241
"Western BINE (Drageli, Irupi)",irup1239
Western BINE (Masingle),masi1270
Western BINE (Sebe),sebe1243
Western BINE (Tati),tate1244
Western GIZRA (Kupere),west2584
Western GIZRA (Togo),west2584
