'ARE'ARE,area1240
AROSI,aros1241
BANIATA,touo1238
BANONI,bann1247
BAURO Bauro,nucl1475
BAURO Haununu,haun1237
BAURO Rawo,rawo1242
BILUA,bilu1245
BIRAO,bira1254
BLABLANGA,blab1237
BUGOTU,bugh1239
BUIN Uisai,uisa1238
DORI'O,dori1246
EAST CHOISEUL Avaso,avas1237
EAST CHOISEUL Babatana,nucl1494
EAST CHOISEUL Kataz,kata1267
EAST CHOISEUL Lömaumbi,loma1262
EAST CHOISEUL Sengga,seng1280
EIVO,asko1238
FAGANI Agufi,aguf1237
FAGANI Fagani,nucl1474
FAGANI Rihu'a,rihu1237
GAO,gaoo1237
GELA,gela1263
GHANONGGA,ghan1242
HAHON,haho1237
HALIA,hali1244
HOAVA,hoav1238
KAHUA,kahu1241
KAZUKURU,kazu1245
KERIAKA,ramo1245
KIA,zaba1237
KOKOTA,koko1269
KONUA,rapo1238
KUSAGHE,kusa1253
KWAIO,kwai1243
KWARA'AE,kwar1239
LAGHU,lagh1246
LANGALANGA,wala1266
LAU,lauu1247
LAVUKALEVE,lavu1241
LENGO,leng1259
LENGO Paripao,pari1257
LONGGU,long1395
LUANGIUA Luangiua,luan1260
LUANGIUA Pelau,pela1243
LUNGGA,lung1249
MALANGO,mala1484
MARAU,mara1398
MARINGE,mari1427
MAROVO,maro1244
MONO/ALU Alu,aluu1243
MONO/ALU Fauro,faur1237
MONO/ALU Mono,mono1274
NAGOVISI,sibe1248
NASIOI Simeku,naas1242
NDUKE,duke1237
NEHAN,neha1247
NORTH MALAITAN Baeguu,baeg1237
NORTH MALAITAN Baelelea,bael1237
NORTH MALAITAN Fataleka,fata1245
NORTH MALAITAN To'abaita,toab1237
NUKUMANU,nuku1258
OROHA,oroh1237
PAPAPANA,papa1265
PETATS,peta1245
PIVA,lawu1237
RENNELLESE Bellona,mung1270
RENNELLESE Rennell,mung1271
RIRIO,riri1237
ROTOKAS,roto1249
ROVIANA,rovi1238
SAPOSA,sapo1253
SAPOSA Taiof,taio1240
SAVOSAVO,savo1255
SIKAIANA,sika1261
SIMBO,simb1256
SIWAI Baitsi,bait1248
SOLOS,solo1257
SOUTH MALAITAN Sa'a,saaa1240
SOUTH MALAITAN Uki Ni Masi,ukin1237
SOUTH MALAITAN Ulawa,ulaw1237
TAKUU,taku1257
TALISE Koo,kooo1245
TALISE Malageti,mala1483
TALISE Moli,moli1247
TALISE Poleo,pole1240
TALISE Talise,nucl1469
TALISE Tolo,tolo1254
TEOP,teop1238
TIMPUTZ,tinp1237
TORAU,tora1259
UGHELE,ughe1237
URUAVA,urua1242
VAGHUA,vagh1249
VANGUNU Mbareke,bare1273
VANGUNU Vangunu,nucl1492
VARISI Ghone,ghon1237
VARISI Varisi,nucl1493
WEST GUADALCANAL Gae,gaee1238
WEST GUADALCANAL Gari,nucl1471
WEST GUADALCANAL Geri,geri1237
WEST GUADALCANAL Ndi,ndii1241
WEST GUADALCANAL Nginia,ngin1246
WEST GUADALCANAL Tandai,tand1254
ZAZAO,zaza1245
