EASTERN FIJIAN,east2446
EASTERN FIJIAN Central Vanua Levu,cent2061
EASTERN FIJIAN Gonedau,gone1237
EASTERN FIJIAN Kadavu,kada1285
EASTERN FIJIAN Lomaiviti,loma1261
EASTERN FIJIAN Northeast Vanua Levu,nort2843
EASTERN FIJIAN Northeast Viti Levu,nort2842
EASTERN FIJIAN Southeast Viti Levu,sout2864
EASTERN FIJIAN Southeastern Vanua Levu,sout2863
EASTERN FIJIAN Western Vanua Levu,fiji1243
WESTERN FIJIAN,west2518
WESTERN FIJIAN Nadroga,nadr1235
WESTERN FIJIAN Namosi-Naitasiri-Serua,namo1248
WESTERN FIJIAN Nuclear Western,west2519
