ROTI Baä-Loleh Baä,baaa1237
ROTI Baä-Loleh Loleh,lole1239
ROTI Bilba-Diu-Lelenuk Bilba,nucl1537
ROTI Bilba-Diu-Lelenuk Diu,diuu1237
ROTI Bilba-Diu-Lelenuk Lelenuk,lele1271
ROTI Bokai,boka1251
ROTI Dengka-Lelain Dengka,deng1253
ROTI Dengka-Lelain Lelain,lela1245
ROTI Korbaffo,korb1237
ROTI Landu-Ringgou-Oepao Landu,land1257
ROTI Landu-Ringgou-Oepao Oepao,oepa1237
ROTI Landu-Ringgou-Oepao Ringgou,nucl1538
ROTI Oenale-Delha Delha,dela1252
ROTI Oenale-Delha Oenale,oena1237
ROTI Termanu-Talae-Keka Keka,keka1234
ROTI Termanu-Talae-Keka Talae,tala1297
ROTI Termanu-Talae-Keka Termanu,term1237
ROTI Thie,tiii1241
