ANDIO,andi1257
ATINGGOLA,atin1241
BADA Bada,bada1261
BADA Besoa,beso1237
BAJO,
BALAESAN,bala1314
BALANTAK,bala1315
BANGGAI,bang1368
BANGGAI East Banggai,east2492
BANGGAI West Banggai,west2570
BANTIK,bant1286
BINTAUNA,bint1245
BOLA'ANG-MONGONDOW,mong1342
BOLA'ANG-MONGONDOW Lolak,lola1250
BOLANGO,bola1252
BOLANO,boan1243
BUGIS,bugi1245
BUGIS Campalagian,camp1262
BUGIS Enna,bugi1244
BUGIS Lakiung,bugi1244
BUGIS Luwu,luwu1237
BUGIS Luwu Wajo Palakka,luwu1237
BUGIS Palakka,bugi1244
BUGIS Parepare,bugi1244
BUGIS Sawitto,sawi1255
BUGIS Sidenreng,bugi1244
BUGIS Soppeng,sopp1246
BUGIS Wajo,wajo1237
"BUGIS, KAILI Palu, MANDAR",
BUNGKU,bung1269
BUNGKU (Wowoni),wawo1239
BUNGKU Epe-Routa,rout1237
BUNGKU Kalisusu,bung1269
BUNGKU Maronene Kabaena,kaba1285
BUNGKU Maronene Rumbia,rumb1240
BUNGKU To Rete,tore1237
BUNGKU Tulambatu,tula1253
BUNGKU Watu,bung1269
BUOL,buol1237
BUTON,buto1237
DAMPELASA,damp1237
DONDO,dond1249
GORONTALO,goro1259
GORONTALO (East),east2479
GORONTALO Kwandang,goro1259
GORONTALO Limboto,limb1269
KAIDIPANG Bolang Itang,bola1251
KAIDIPANG Kaidipan,kaid1240
KAILI Banawa,unde1235
KAILI Banawa Ganti,unde1235
KAILI Banawa Lole,unde1235
KAILI Dolago,daaa1238
KAILI Kulawi,moma1242
KAILI Palu,ledo1237
"KAILI Palu, MANDAR",
KAILI Parigi,tara1318
KAILI Parigi Sausu,tara1318
KAILI Pekawa,daak1235
KAILI Sigi,ijaa1237
KAILI Sigi Pakuli,ijaa1237
KAILI Tawaili-Sindue,raii1238
KASIMBAR,taji1246
LALAKI,tola1247
LALAKI Asera Wanua,aser1237
LALAKI Labeau,tola1247
LALAKI Waru,waru1266
LALAKI Wiwi Rano,wiwi1237
LINDU,lind1248
MAKASSARESE,maka1310
MAKASSARESE Bantaeng,bant1292
MAKASSARESE Konjo,konj1250
MAKASSARESE Lakiung,gowa1239
MAKASSARESE Salayar,sela1260
MAKASSARESE Turatea,tura1262
MAMUJU,mamu1255
MANADO MALAY,mala1481
MANDAR,mand1442
MANDAR Balanipa,bala1313
MANDAR Botteng-Tappalang,ulum1237
MANDAR Majene,maje1237
MASSENREMPULU Duri,duri1242
MASSENREMPULU Enrekang,enre1239
MASSENREMPULU Maiwa,maiw1250
MEKONGKA Konio,koni1261
MEKONGKA Norio,nori1241
MEKONGKA Tamboki,tamb1256
MORI,mori1269
MORI Padoe,pado1242
MORI Saroako,soro1239
MORI Upper Mori,mori1269
MORI Watu-Karunsi,karo1300
MUNA,muna1247
Minahasan Group,mina1272
NAPU,napu1241
NDAU,pend1242
PAMONA,pamo1252
PAMONA Ampana,ampa1240
PAMONA Ampana Togian,ampa1240
PAMONA Batui,batu1260
PAMONA Beach Pamona,poso1239
PAMONA Belala,tomb1245
PAMONA Laiwonu,laiw1240
PAMONA Lalaeo,lala1271
PAMONA Pu'u Mboto,puum1234
PAMONA Sinohoan,sino1247
PETAPA,taje1237
PIPIKORO,umaa1242
PITU ULUNNA SALO,pitu1237
PONOSAKAN,pono1240
RAMPI,ramp1243
RATAHAN,rata1244
SA'DAN Kesu',rant1238
SA'DAN Makale,maka1312
SA'DAN Mamasa,mama1276
SA'DAN Mangki,mang1411
SA'DAN Mappa-Pana,tora1262
SA'DAN Rantepao,rant1238
SA'DAN Rongkong,rong1270
SA'DAN Sangangalla,tora1261
SA'DAN Sillanan Gandangbatu,tora1261
SALUAN,salu1253
SANGIR Tagulandang,sang1336
SEDOA,sedo1237
SEKO,seko1242
SOUTH BUTON,ciac1237
SUWAWA,suwa1241
TOLITOLI,toto1304
TOMBULU,tomb1243
TOMBULU Tomohon,tomo1245
TOMINI Ampibabo,ampi1237
TOMINI Tialo,tomi1243
TOMINI Tinombo,lauj1238
TONDANO,tond1251
TONDANO Kakas,kaka1268
TONDANO Remboken,remb1251
TONDANO Tondano,nucl1550
TONSAWANG,tons1239
TONSEA,tons1240
TONSEA Kalabat Atas,kala1390
TONTEMBOAN,tont1239
TONTEMBOAN (Langoan),lang1325
TONTEMBOAN Makelai (Tompaso),tomp1242
TONTEMBOAN Matanai (Sonder),sond1251
TUKANG-BESI,tuka1247
TUKANG-BESI Binonko,bino1238
TUKANG-BESI Wanji,wanc1239
WOLIO,woli1241
WOTU,wotu1240
